contrast,log2FC,se_log2,z,p,ci_lo,ci_hi,n_ref,n_alt,n_patients,cpm_ref,cpm_alt,gene,comparison,fdr
AD_vs_Healthy,2.479840359539714,0.32052485256812563,7.736811481763769,1.0194104007966157e-14,1.8516116485061875,3.10806907057324,38,54,65,0.35629512131230734,1.0576622626545704,TNFRSF9,Healthy_vs_AD,1.0194104007966157e-13
AD_vs_Healthy,0.6576813301386766,0.20535087300044608,3.202719913137394,0.001361363142087119,0.2551936190578023,1.0601690412195508,38,54,65,0.4290326628965312,0.6525407649874546,TNFSF9,Healthy_vs_AD,0.0030252514268602642
AD_vs_Healthy,-0.08895826259964841,0.26749148899551034,-0.3325648338708134,0.7394627922211578,-0.6132415810308487,0.43532505583155184,38,54,65,4.830519381517181,5.52164763258096,TPSAB1,Healthy_vs_AD,0.7394627922211578
AD_vs_Healthy,-0.10055175061202094,0.28653306399341644,-0.35092547160397264,0.7256442616516385,-0.6621565560391172,0.4610530548150753,38,54,65,6.659435469140984,7.872437888867525,TPSB2,Healthy_vs_AD,0.7394627922211578
AD_vs_Healthy,-0.4752487819741942,0.22787856051746128,-2.085535299569255,0.03702073740176312,-0.9218907605884185,-0.02860680335997006,38,54,65,11.678950723092619,8.674338508385834,CPA3,Healthy_vs_AD,0.052886767716804464
AD_vs_Healthy,-0.3911270117085412,0.23314997249874103,-1.677576915479384,0.09342972246759038,-0.8481009578060738,0.06584693438899125,38,54,65,4.1066445427258875,3.6941551571374935,MS4A2,Healthy_vs_AD,0.10991732055010633
AD_vs_Healthy,-0.6044034945444798,0.30748423241782374,-1.9656406112011249,0.04934013947642993,-1.2070725900834145,-0.0017343990055452545,38,54,65,2.340128495998411,1.9998096078235899,CMA1,Healthy_vs_AD,0.06578685263523991
AD_vs_Healthy,-0.3092031860224899,0.10948533449390684,-2.8241516313739528,0.0047405951631871125,-0.5237944416305473,-0.0946119304144325,38,54,65,100.76628376107396,86.44030165280714,KIT,Healthy_vs_AD,0.009481190326374225
AD_vs_Healthy,0.38528685836466925,0.3845322401963405,1.0019624314672377,0.3163617377968967,-0.3683963324201582,1.1389700491494967,38,54,65,1.180436263084971,1.3908321725671198,HDC,Healthy_vs_AD,0.35151304199655187
AD_vs_Healthy,-0.5388739493511608,0.31730911488667407,-1.6982618023551512,0.08945836065860874,-1.1607998145290421,0.08305191582672035,38,54,65,591.626344545821,390.30925409900806,COL1A1,Healthy_vs_AD,0.10991732055010633
AD_vs_Healthy,-0.6118993828170537,0.26912804748117247,-2.2736366147785496,0.022987844093685966,-1.139390355880152,-0.0844084097539557,38,54,65,1036.6583548237222,727.6020784827006,COL1A2,Healthy_vs_AD,0.04179608017033812
AD_vs_Healthy,-0.812393324966405,0.17572814524984437,-4.623012004203263,3.782078269374373e-06,-1.1568204896561,-0.46796616027671,38,54,65,1203.8199984829535,694.0623722160929,DCN,Healthy_vs_AD,1.2606927564581244e-05
AD_vs_Healthy,0.8367359650207965,0.13070784086392628,6.401574377560735,1.5378286602046468e-10,0.5805485969275009,1.092923333114092,38,54,65,4430.590813916568,6646.908286606353,KRT14,Healthy_vs_AD,7.689143301023233e-10
AD_vs_Healthy,0.6669704125276474,0.08496865217851492,7.849605653698917,4.173474606218155e-15,0.5004318542577583,0.8335089707975367,38,54,65,6001.693426773147,8753.723285675822,KRT5,Healthy_vs_AD,8.34694921243631e-14
AD_vs_Healthy,0.27120524013161423,0.08369404763830567,3.240436420325394,0.0011934688403853464,0.1071649067605351,0.43524557350269333,38,54,65,15848.348427218123,18543.653522263907,KRT10,Healthy_vs_AD,0.002983672100963366
AD_vs_Healthy,1.5722846876020762,0.25409181753676946,6.187860368130713,6.098631101423442e-10,1.074264725230008,2.0703046499741444,38,54,65,0.5918796739554802,1.4933241397788604,CD3D,Healthy_vs_AD,2.439452440569377e-09
AD_vs_Healthy,1.6190840771664754,0.24340436116606276,6.6518285432932505,2.894738126534436e-11,1.1420115292809925,2.0961566250519588,38,54,65,0.8256563704328437,1.9583007440385343,CD3E,Healthy_vs_AD,1.929825417689624e-10
AD_vs_Healthy,0.7366451188234626,0.19248596667821596,3.8270068802206882,0.00012971089062709663,0.3593726241341593,1.113917613512766,38,54,65,2.8939605994255455,3.762237876944427,TRAC,Healthy_vs_AD,0.00037060254464884755
AD_vs_Healthy,0.6244463940546405,0.28992750618517305,2.153801832296017,0.031255715964435035,0.05618848193170144,1.1927043061775797,38,54,65,9.09277229041858,13.089058480654947,CD163,Healthy_vs_AD,0.04808571686836159
AD_vs_Healthy,0.27964889387763264,0.129480887369383,2.1597696738040604,0.03079050440964958,0.02586635463364191,0.5334314331216233,38,54,65,4.110932858676782,4.7901455516565665,AIF1,Healthy_vs_AD,0.04808571686836159
AD_NL_vs_Healthy,1.3824248358233935,0.3207068793965932,4.3105556027498135,1.62844874627357e-05,0.7538393522060708,2.0110103194407163,38,27,65,0.35629512131230734,0.5563078417215181,TNFRSF9,Healthy_vs_AD_NL,0.000325689749254714
