sample,arm,n_mast,mast_umi,ref_umi,ratio
BCH01-L1,AD,58,334.86206896551727,3599.523429506855,0.09302955669645255
BCH01-L2,AD,56,321.44642857142856,3853.981948623004,0.08340631400369654
BCH01-NL1,AD,8,307.125,1741.4507583029372,0.1763615758502966
BCH01-NL2,AD,12,273.75,1610.105786951714,0.17001988454328162
BCH04-L1,AD,51,441.6666666666667,2693.7946680338373,0.16395706469678067
BCH04-L2,AD,45,483.4222222222222,2970.836133906474,0.1627226142515476
BCH04-NL1,AD,64,658.953125,3364.0617246596066,0.19588021235450914
BCH04-NL2,AD,51,602.5882352941177,2642.940874811463,0.227999135749529
BCH05-L,AD,97,365.2061855670103,2979.8376288659792,0.12255908913600601
BCH05-NL,AD,88,442.5681818181818,1899.3209326247213,0.23301390208266975
BCH06-L,AD,245,655.7102040816327,5771.5820922629855,0.11361013212662018
BCH06-NL,AD,135,443.02962962962965,4443.404524403278,0.09970499584192728
BCH07-L,AD,94,542.1595744680851,4964.399115044248,0.1092095059047751
BCH07-NL,AD,86,601.0232558139535,4665.870226815963,0.12881268157860828
Healthy1-H1,Healthy,144,346.5625,1155.0893546607833,0.3000309011606946
Healthy2-H2,Healthy,16,293.75,1630.7956950018242,0.18012679387142447
Healthy5-H51,Healthy,10,295.9,1389.2110641776808,0.2129985915244296
Healthy5-H52,Healthy,29,284.9655172413793,1552.041271151465,0.18360691982756513
Healthy6-H6,Healthy,138,1197.3695652173913,6767.381217668126,0.17693248343854576
Healthy7-H7,Healthy,91,845.4285714285714,4166.346153846154,0.20291846625564602
Healthy8-H8,Healthy,171,1472.8070175438597,6371.746444032158,0.23114652010726283
MGH103-L1,AD,94,492.9148936170213,5416.404865125241,0.09100407113042203
MGH103-L2,AD,67,442.1044776119403,5315.831132075472,0.0831675172945775
MGH103-NL1,AD,269,408.3717472118959,3523.21103117506,0.1159089658832318
MGH103-NL2,AD,289,396.24567474048445,3489.185681760688,0.11356394038064886
MGH104-L1,AD,120,724.45,4451.2470091484865,0.1627521453001966
MGH104-L2,AD,90,801.6888888888889,3988.548335613315,0.20099766166319105
MGH104-NL1,AD,209,702.311004784689,4384.817375058384,0.1601688154173896
MGH105-L1,AD,153,1285.5686274509803,7327.58439355386,0.17544235022143265
MGH106-L1,AD,112,1027.7589285714287,6610.597247004844,0.15547141811386103
MGH106-L2,AD,106,969.1415094339623,6998.833695914915,0.13847185853260546
MGH106-NL1,AD,110,839.0454545454545,4992.554626749611,0.1680593438176785
MGH106-NL2,AD,109,714.1651376146789,4679.408992416034,0.1526186616241781
MGH108-L1,AD,156,960.7115384615385,9561.54070152217,0.10047664580966495
MGH108-L2,AD,142,930.7394366197183,9689.617782500885,0.09605533030421505
MGH108-NL1,AD,164,934.4878048780488,7403.284955752212,0.12622610239417698
MGH108-NL2,AD,167,922.2754491017964,7285.575814301759,0.1265892322870826
MGH110-L,AD,89,824.438202247191,8096.582832921229,0.1018254514602101
MGH110-NL,AD,178,917.8595505617977,6214.52803281891,0.147695777654326
