gene,UN,IgE,IL33,TSLP,IL25,IL33IL25TSLP,IgEIL33,IgETSLP,IgEIL25,IgEIL33IL25TSLP
TNFRSF9,0.13769559,1.070042825,4.334415,0.11169095000000001,0.1086065,3.75719,8.66145,1.3917950000000001,1.32226,7.9581800000000005
TNFSF9,0.72838825,3.465008,0.308894,0.22541499999999998,0.223491,0.33821650000000003,2.127505,3.658635,3.73216,2.115735
TNFRSF4,1.84062775,1.831505,3.0285200000000003,0.669821,1.30471,3.023895,3.06267,2.175735,2.45771,2.253595
TNFRSF18,1.6334827500000002,3.07594475,11.78114,0.7154605,0.4206895,12.74775,15.040799999999999,3.712695,4.057015,14.947099999999999
TNF,17.1591575,54.729365,8.193155,1.248255,0.9229320000000001,6.345815,48.29505,42.3887,41.72595,39.1875
IL6,3.74736725,20.711378999999997,7.477,2.2541700000000002,2.279235,8.556425,92.5403,39.15695,43.54015,98.826
CXCL8,5.040061125,67.8357015,2.549755,16.01995,0.2565113,3.47469,2238.1499999999996,111.6455,124.32050000000001,2490.675
CCL1,11.9218675,71.16606475,44.826,4.163335,0.50163,46.0269,473.365,82.6186,75.84685,415.048
NR4A1,381.22415,807.243425,7.6622650000000005,18.1871,14.74185,8.135095,638.4425,652.73,687.0405000000001,585.9839999999999
EGR1,104.6603625,198.24644999999998,9.01681,8.702224999999999,8.94577,8.528604999999999,169.7935,190.6255,197.4395,160.6295
IL13,0.4061325,2.2366625,1.869475,0.060044650000000005,0.0,2.15486,8.78149,1.59836,1.18344,8.91459
CSF2,397.211735,2044.2251,64.83825,28.29555,12.02185,58.597449999999995,2468.3149999999996,2666.4750000000004,2712.295,2429.895
PTGS2,256.49052,787.0218,40.609449999999995,13.69375,3.96185,39.2632,1397.815,932.2180000000001,991.8335,1552.7849999999999
IL1RL1,93.4018,132.089475,164.4255,54.8209,48.0698,152.86950000000002,240.048,137.299,151.098,219.542
ACTB,2593.87,1932.37,2790.16,2354.835,2467.38,2665.615,1792.135,1409.5949999999998,1488.505,1706.7649999999999
GAPDH,638.2272499999999,559.6915,891.015,545.797,579.463,927.885,720.4485,536.21,535.577,793.415
B2M,1443.9249999999997,1215.6975,2052.145,1246.095,1309.84,2010.69,1826.9850000000001,1207.67,1256.095,1723.925
RPL13A,447.8475,359.91025,386.53499999999997,403.49350000000004,422.01599999999996,371.295,382.46500000000003,365.298,374.19050000000004,383.93550000000005
TMSB4X,2251.835,2125.4125,2581.025,2117.93,2264.09,2440.7799999999997,2562.785,2306.6400000000003,2359.5,2264.135
TPSAB1,3921.52,6344.665,8961.985,4463.915,4167.705,8181.7699999999995,3197.245,7521.045,7438.889999999999,5435.555
TPSB2,3109.8925,4111.219999999999,8791.985,4125.11,3887.195,8188.195,3163.65,7086.950000000001,3796.15,5468.18
CPA3,961.48875,630.24425,512.297,706.9300000000001,715.5575,516.3,391.6915,600.4835,601.6610000000001,361.62649999999996
KIT,304.07525,147.159625,353.523,278.687,263.7505,350.47950000000003,90.30435,96.8135,105.04145,92.4892
MS4A2,229.8779,193.64475,52.3718,259.0525,252.9965,52.15915,31.74305,145.377,148.34449999999998,31.308500000000002
