gene,UN,IgE,IL33,TSLP,IL25,IL33IL25TSLP,IgEIL33,IgETSLP,IgEIL25,IgEIL33IL25TSLP
TNFRSF9,0.0,2.8703898632768814,4.878463268244583,-0.27940486907122525,-0.31644367356703496,4.672790143279872,5.8755745996070186,3.246576728664829,3.17317700722514,5.753551583196764
TNFSF9,0.0,2.2345647985261197,-1.211302642010033,-1.6491733476182138,-1.6610126537320071,-1.0843950297822784,1.5334762941013034,2.3127918744273184,2.3414197432278763,1.5255102571089023
TNFRSF4,0.0,-0.007129414817710451,0.7153540587283844,-1.4447878959944276,-0.4932701256771561,0.7131564270268824,0.7314781028135636,0.2401037690593035,0.41515813279019664,0.29060112657915854
TNFRSF18,0.0,0.9089559185146285,2.842874989725645,-1.1797873445345555,-1.9320362570465799,2.956545693874466,3.1950119539765724,1.1795911072159477,1.3072139978041186,3.1860022622171376
TNF,0.0,1.6727594516837092,-1.0655684534395904,-3.770323011359126,-4.201903507959192,-1.433670209645729,1.4923547747239485,1.3042007832980553,1.2814713628812682,1.19094239555618
IL6,0.0,2.463325978144795,0.9946656206723811,-0.7307398500982634,-0.714856564314916,1.188971120640038,4.622443627683004,3.3818427485476685,3.5348836490260793,4.717242585528449
CXCL8,0.0,3.7478846585171794,-0.980295116888257,1.6663971703058837,-4.244032240847036,-0.5352705312498814,8.791796608943867,4.466609657823543,4.621735592648543,8.94602600827646
CCL1,0.0,2.5765723078003693,1.9098377130976578,-1.5155472244505772,-4.5435751911859805,1.9479708274131513,5.310091748841053,2.7918213618199053,2.668459601965815,5.120421184770815
NR4A1,0.0,1.0823442988486836,-5.634880995921168,-4.388896900802563,-4.6917095616115345,-5.548602022151651,0.7439019313228392,0.7758310925245442,0.849738786737713,0.6202085349067502
EGR1,0.0,0.9215148029915636,-3.5354929482931996,-3.5866679763084592,-3.546891711859991,-3.6157088016866012,0.6980131963213694,0.864963802061929,0.9156307146828436,0.6179736841407788
IL13,0.0,2.432668542504532,2.175214852817534,-2.570696200301883,-5.378971062332322,2.37915885731983,4.400992824487984,1.9504754892359475,1.5200111644290342,4.422671019995505
CSF2,0.0,2.3635446540194502,-2.6148050183310705,-3.8107877039738303,-5.045014174360954,-2.760788593360185,2.6355158932297815,2.746922741455017,2.7715029484705207,2.6128834401943193
PTGS2,0.0,1.6174601783758842,-2.6587191402523285,-4.226319108051622,-6.013006800969573,-2.7073446911706696,2.4461500988324136,1.8617210951052778,1.9511507494708333,2.5978337219896903
IL1RL1,0.0,0.49994802170870695,0.8158450850357374,-0.7686156517310319,-0.9581739112947101,0.7107182538132444,1.3617063037967565,0.555749479671315,0.6939033308532669,1.2328859654793443
ACTB,0.0,-0.42473291194011764,0.10524128742023303,-0.13947963584321985,-0.07212596953010987,0.03936209832528854,-0.533424369505864,-0.8798207913521475,-0.801237978191379,-0.6038388541859726
GAPDH,0.0,-0.1894351981881829,0.4813730984885593,-0.2257019149883093,-0.1393513705718071,0.5398687477987036,0.17482251802470467,-0.2512677822071943,-0.25297186898225726,0.31400104367632525
B2M,0.0,-0.24820964231913123,0.5071339028273394,-0.21258016084020942,-0.1406041912889708,0.47769204554062833,0.3394668861930626,-0.25776756634101217,-0.20104873284855013,0.25569957994237347
RPL13A,0.0,-0.3153624922076356,-0.2124033897029781,-0.1504585787989681,-0.08570788371244255,-0.2704350236495552,-0.22767431540099156,-0.29392641823220983,-0.2592282800478918,-0.22213822741568165
TMSB4X,0.0,-0.0833578721481863,0.19684217855393837,-0.08844580740330844,0.00783015343495417,0.1162406476636967,0.18661055432011692,0.034691586399310734,0.06737975926504715,0.007858827359109173
TPSAB1,0.0,0.6941296280775671,1.1924032844074115,0.1868961509484182,0.08783998828328023,1.0609981079127215,-0.29458282501596716,0.9395184098903523,0.9236726666902404,0.4710133668479528
TPSB2,0.0,0.4027007343027761,1.4993212153664284,0.4075667375967636,0.3218638428046516,1.3966778716825499,0.02472521057833705,1.1882975557835576,0.2876714496798935,0.8141940218342294
CPA3,0.0,-0.609351040328376,-0.9082763775317796,-0.4436972073689741,-0.42619711814725325,-0.8970474411963972,-1.2955303289624367,-0.6791363523217759,-0.6763101601427394,-1.4107446855611028
KIT,0.0,-1.0469959006973706,0.21736904898741471,-0.1257783656965513,-0.20524731152479328,0.2048953859725329,-1.751448698411486,-1.6510466873525764,-1.533379763183899,-1.7169630451812343
MS4A2,0.0,-0.24744364424530416,-2.1337929916413922,0.17236966386849933,0.13824391699118152,-2.139661700122718,-2.8559634527963342,-0.6610322584893389,-0.6318818443496095,-2.875843511242995
