gene,Ctl,LT,log2FC_LT,p_LT,n_LT,LT_B,log2FC_LT_B,p_LT_B,n_LT_B,IL33,log2FC_IL33,p_IL33,n_IL33,IgE,log2FC_IgE,p_IgE,n_IgE
TNFRSF9,102.831942366,132.67807701560113,0.26376024860983277,0.16659341725649057,4,767.684704851392,2.9685047730476977,0.002868636658431008,4,9079.398206158772,6.530268752990431,0.0009344422872133118,4,4148.11369598563,5.510854100713989,0.0011421201282677792,4
TNFSF9,6.792137445764263,7.441213754666998,0.04043514880426108,0.8762536786547908,4,36.766222025092475,2.104966803272324,0.015386794226686663,4,1048.7522785612753,6.526952083992498,0.002626797585456309,4,101.20345076771397,3.5831738953128447,0.0022482671214184434,4
TNFRSF4,285.120849048892,317.04535029254146,0.10793499028204534,0.4818428992723592,4,359.5124629933835,0.3295197743000279,0.030517419022857158,4,1936.8141548048075,2.5827195265094316,0.004307732937244372,4,419.03883677103624,0.5282532642352702,0.024148349798870747,4
TNFRSF18,76.27068036833944,111.11690162680596,0.4964440998679043,0.04803790142729198,4,149.65794654240602,1.0729863969999274,0.08651164226237697,4,1696.4382350837673,4.38188685423321,6.941442991881258e-05,4,339.867958340947,2.2473629966701894,0.0035861342331535502,4
TNF,7.635437523926149,10.564686295814315,0.6786410174223129,0.2649329168192836,4,363.0634845517465,5.826756010399836,0.0015579608332470577,4,844.7574686855723,6.697794239557388,0.000812387505544479,4,2175.163958362195,8.417348369701992,0.0008857214709071835,4
IL6,0.2533896798334025,0.0,-0.2524368861806979,0.3910022189557705,4,7.171342785183775,2.1723976127399185,0.07568070367406342,4,135.04450221331604,5.481837538547569,0.008183804743256107,4,0.29881381646995,0.031160290605322275,0.3910022189557705,4
CXCL8,0.7404201325780022,5.731016414684088,1.7369751499537682,0.034443917963941466,4,47.41926993128243,4.593003217430698,0.005236147140400772,4,6832.324602182694,11.544299320133035,0.00018312788930849257,4,8428.732883405208,12.031952551788791,0.00035927152494510896,4
CCL1,85.50847086127457,125.18662528484641,0.5397752478170967,0.010255954509129745,4,569.738819713766,2.279061059588705,0.01919769648818494,4,10980.373117424975,6.829146994875458,0.0001940695576058903,4,86809.81927769806,10.076620917586565,7.048910970752672e-05,4
NR4A1,418.13437101057775,420.582091015288,0.00790449790042528,0.8949293885943579,4,341.92620244186753,-0.3900889295555076,0.3013526419993477,4,195.87484871484597,-1.101181956913588,0.003940653193618954,4,3614.3425491761745,2.937020784115854,0.004338797332791564,4
EGR1,1347.6615271590576,1248.1669194127485,-0.17197072877227831,0.465505273105132,4,1590.061293416827,0.13575103634118416,0.7201236177723386,4,432.30047519805123,-1.7711602287494057,0.009912977804711495,4,200.66414482571474,-2.796805737011963,0.0050636787171525685,4
