n_ref,n_alt,donors_ref,donors_alt,rate_ref,rate_alt,log2FC,se_log2,ci_lo,ci_hi,p,comparison,population
6,21,6,11,5.746377866484826e-06,4.686990098185872e-05,3.0279369780772996,1.0759307421421138,0.9191127234787564,5.136761232675842,0.00488913469782562,Healthy_vs_AD,Mast (SUBJECT)
6,21,6,11,1.6471786218616512e-07,3.457541531438812e-07,1.0697495695493966,0.7772682407757413,-0.45369618237105636,2.5931953214698495,0.16873064831461604,Healthy_vs_AD,Fibroblasts
6,21,6,11,2.8551669909449015e-07,3.498317592435177e-07,0.2930861419531977,0.6346490228339108,-0.9508259428012673,1.536998226707663,0.6442188484153937,Healthy_vs_AD,Keratinocytes
6,21,6,11,1.4740826783492632e-05,4.168142826901243e-05,1.4995872697265065,0.16248799886912887,1.181110791943014,1.8180637475099992,2.733974088431301e-20,Healthy_vs_AD,T/NK
6,21,6,11,9.118492530814806e-07,4.722613724743559e-06,2.372718295541842,1.4079698410761152,-0.38690259296734375,5.132339184051028,0.09194896104752595,Healthy_vs_AD,Macrophages
6,10,6,10,5.746377866484826e-06,5.485987558158562e-05,3.2550265796245625,1.002551064436203,1.290026493329605,5.22002666591952,0.0011673336810713174,Healthy_vs_AD_NL,Mast (SUBJECT)
6,10,6,10,1.6471786218616512e-07,1.7934106490338323e-07,0.12270885842172054,0.8022102083033381,-1.4496231498528223,1.6950408666962633,0.878427081666466,Healthy_vs_AD_NL,Fibroblasts
6,10,6,10,2.8551669909449015e-07,3.080162160486694e-07,0.10943117874437763,0.6229903049001297,-1.1116298188598766,1.3304921763486317,0.860565221422842,Healthy_vs_AD_NL,Keratinocytes
6,10,6,10,1.4740826783492632e-05,4.087442869297252e-05,1.471381121423747,0.3091601256316205,0.865427275185771,2.077334967661723,1.942800328749967e-06,Healthy_vs_AD_NL,T/NK
6,10,6,10,9.118492530814806e-07,4.631409611681881e-06,2.3445841148201354,1.447418581623961,-0.4923563051628286,5.181524534803099,0.1052670076501549,Healthy_vs_AD_NL,Macrophages
6,11,6,11,5.746377866484826e-06,3.997793870484533e-05,2.7984793185272236,1.3035808922892362,0.2434607696403206,5.353497867414127,0.03181214877028528,Healthy_vs_AD_LS,Mast (SUBJECT)
6,11,6,11,1.6471786218616512e-07,5.147746461132198e-07,1.6439439881304265,0.8347501358653784,0.007833721834284846,3.280054254426568,0.04890895304164284,Healthy_vs_AD_LS,Fibroblasts
6,11,6,11,2.8551669909449015e-07,3.672112580314745e-07,0.36303516248294104,0.6861472867630826,-0.9818135195727009,1.7078838445385829,0.5967415072166105,Healthy_vs_AD_LS,Keratinocytes
6,11,6,11,1.4740826783492632e-05,4.2139780828511004e-05,1.5153653660508333,0.19141181804479282,1.1401982026830393,1.8905325294186273,2.437393069613146e-15,Healthy_vs_AD_LS,T/NK
6,11,6,11,9.118492530814806e-07,4.802826931772986e-06,2.39701657961799,1.4714559910954186,-0.4870371629290305,5.281070322165011,0.10331089403042677,Healthy_vs_AD_LS,Macrophages
10,11,10,11,5.485987558158562e-05,3.997793870484533e-05,-0.4565472627908747,0.7724492729141571,-1.9705478377026229,1.0574533121208733,0.554494622293765,AD_LS_vs_AD_NL,Mast (SUBJECT)
10,11,10,11,1.7934106490338323e-07,5.147746461132198e-07,1.5212351297060012,0.613907316320265,0.3179767897182817,2.72449346969372,0.01321375527838077,AD_LS_vs_AD_NL,Fibroblasts
10,11,10,11,3.080162160486694e-07,3.672112580314745e-07,0.2536039837385694,0.4424536355205197,-0.613605141881649,1.1208131093587879,0.5665252592101873,AD_LS_vs_AD_NL,Keratinocytes
10,11,10,11,4.087442869297252e-05,4.2139780828511004e-05,0.04398424461089066,0.36714864306779593,-0.6756270958019893,0.7635955850237706,0.9046419332714095,AD_LS_vs_AD_NL,T/NK
10,11,10,11,4.631409611681881e-06,4.802826931772986e-06,0.052432464797852005,0.6117416287454424,-1.146581127543215,1.251446057138919,0.9316968358415058,AD_LS_vs_AD_NL,Macrophages
