Cell type,AD_LS,AD_NL,Healthy
B cells,365.0,507.0,
Cornified keratinocytes,1590.5,5521.0,2620.0
DC,2872.0,3980.0,1495.0
Fibroblasts,3157.0,3373.0,1006.0
Keratinocytes,4061.0,2467.0,1268.0
LEC,1999.5,1819.0,1186.0
Macrophages,2675.0,2688.0,1048.0
Mast,622.0,541.0,891.0
Melanocytes,2610.0,3182.0,870.5
Neutrophils,366.0,415.0,439.0
Pericyte/SMC,2183.0,1779.0,901.0
Plasma,7043.0,5203.0,742.5
Schwann,1159.0,1142.0,688.0
Sweat gland,1852.0,1169.0,676.0
T/NK,1348.0,1304.0,577.5
VEC,3587.0,2636.0,2253.5
