dbin,armp,cells,umi,t9,cp10k
"(0.0, 200.0]",AD,8.0,1533.0,0.0,0.0
"(0.0, 200.0]",Healthy,23.0,4329.0,0.0,0.0
"(200.0, 400.0]",AD,788.0,242132.0,5.0,0.20649893446549816
"(200.0, 400.0]",Healthy,115.0,32092.0,0.0,0.0
"(400.0, 800.0]",AD,1343.0,790120.0,30.0,0.37968916114008
"(400.0, 800.0]",Healthy,101.0,59770.0,0.0,0.0
"(800.0, 1600.0]",AD,805.0,850673.0,59.0,0.6935685039962477
"(800.0, 1600.0]",Healthy,221.0,266229.0,1.0,0.037561648054870056
"(1600.0, 3200.0]",AD,164.0,337135.0,12.0,0.3559404986133151
"(1600.0, 3200.0]",Healthy,75.0,148304.0,2.0,0.13485812924803106
"(3200.0, inf]",AD,15.0,61322.0,1.0,0.16307361142819868
"(3200.0, inf]",Healthy,3.0,11344.0,0.0,0.0
