donor,arm,n_cells,n_mast,mast_umi,tissue_umi,t9_mast,t9_tissue,n_mast_t9pos,stress_mast,cp10k,mast_pct
BCH01,AD,28812,133,42973,63912158,0,116,0,90.36490164332275,0.0,0.4616132167152575
BCH04,AD,29966,170,99949,85510834,4,112,3,398.8689131413221,0.4002041040930875,0.5673096175665755
BCH05,AD,15586,127,54335,36131756,0,37,0,173.45523681782234,0.0,0.8148338252277685
BCH06,AD,16914,305,188119,72228524,3,152,3,506.2683721638216,0.15947352473700158,1.8032399195932363
BCH07,AD,12150,131,77114,54279519,3,47,3,416.00914889296234,0.38903441657805327,1.0781893004115226
Healthy1,Healthy,14331,133,47288,16972775,0,2,0,917.3574691253596,0.0,0.9280580559625986
Healthy2,Healthy,11789,7,2454,18438243,0,25,0,1055.4197229013855,0.0,0.05937738569853253
Healthy5,Healthy,21185,37,10795,29337411,0,12,0,426.1232051875869,0.0,0.17465187632759027
Healthy6,Healthy,4772,114,144205,28572258,0,27,0,1584.7578100620644,0.0,2.388935456831517
Healthy7,Healthy,4245,85,74676,17026817,0,9,0,704.3762386844502,0.0,2.0023557126030624
Healthy8,Healthy,3423,162,242650,18194457,3,29,3,1376.3857407788996,0.123634865031939,4.732690622261174
MGH103,AD,25953,612,268539,91664932,15,167,14,469.1073911565195,0.5585780836303107,2.3581088891457633
MGH104,AD,20457,329,253861,82505157,6,478,5,494.5789576373627,0.23634981348060552,1.608251454269932
MGH105,AD,7144,153,196692,40012035,0,282,0,217.14152075325893,0.0,2.141657334826428
MGH106,AD,27339,385,357170,141850078,5,454,5,572.1537443128784,0.13998936080857854,1.4082446322103954
MGH108,AD,19910,535,520289,141171256,55,613,43,505.2184263995087,1.0571048013700077,2.6870919136112508
MGH110,AD,16542,243,223874,98274608,16,404,15,349.9232737639923,0.7146877261316633,1.4689880304679
