n_ref,n_alt,donors_ref,donors_alt,pct_ref,pct_alt,log2OR,ci_lo,ci_hi,p,comparison,quantity,metric,rate_ref,rate_alt,log2FC,se_log2
6,21,6,11,0.9004937651686333,1.414575151852808,0.6590841311609437,-0.777776412122416,2.0959446744443033,0.3686277244408742,Healthy_vs_AD,F1 mast abundance (% of cells),log2OR,,,,
6,21,6,11,,,,0.9191127234787564,5.136761232675842,0.00488913469782562,Healthy_vs_AD,F2 TNFRSF9 per mast UMI,log2FC,5.746377866484826e-06,4.686990098185872e-05,3.0279369780772996,1.0759307421421138
6,21,6,11,,,,-0.715340453790547,5.388903011313667,0.13345248548145122,Healthy_vs_AD,PRODUCT mast TNFRSF9 / tissue UMI,log2FC,2.3338682377811243e-08,1.1790102800848337e-07,2.33678127876156,1.5572049655878097
6,10,6,10,0.9004937651686333,1.596781933086261,0.8365514826166113,-0.7115596285644468,2.3846625937976693,0.2895435248775611,Healthy_vs_AD_NL,F1 mast abundance (% of cells),log2OR,,,,
6,10,6,10,,,,1.290026493329605,5.22002666591952,0.0011673336810713174,Healthy_vs_AD_NL,F2 TNFRSF9 per mast UMI,log2FC,5.746377866484826e-06,5.485987558158562e-05,3.2550265796245625,1.002551064436203
6,10,6,10,,,,-0.21367923813444004,5.768467544739135,0.06876211231013665,Healthy_vs_AD_NL,PRODUCT mast TNFRSF9 / tissue UMI,log2FC,2.3338682377811243e-08,1.6001300585711606e-07,2.7773941533023474,1.526057852773871
6,11,6,11,0.9004937651686333,1.269275234885122,0.5005955020743438,-0.9380356346302685,1.939226638778956,0.4952298311368779,Healthy_vs_AD_LS,F1 mast abundance (% of cells),log2OR,,,,
6,11,6,11,,,,0.2434607696403206,5.353497867414127,0.03181214877028528,Healthy_vs_AD_LS,F2 TNFRSF9 per mast UMI,log2FC,5.746377866484826e-06,3.997793870484533e-05,2.7984793185272236,1.3035808922892362
6,11,6,11,,,,-1.461100926800778,5.3521896518068175,0.2629860276043303,Healthy_vs_AD_LS,PRODUCT mast TNFRSF9 / tissue UMI,log2FC,2.3338682377811243e-08,8.989665757273913e-08,1.9455443625030198,1.7380843312774479
10,11,10,11,1.596781933086261,1.269275234885122,-0.33595598053837167,-0.9986658341076617,0.32675387303091846,0.3204138142811557,AD_LS_vs_AD_NL,F1 mast abundance (% of cells),log2OR,,,,
10,11,10,11,,,,-1.9705478377026229,1.0574533121208733,0.554494622293765,AD_LS_vs_AD_NL,F2 TNFRSF9 per mast UMI,log2FC,5.485987558158562e-05,3.997793870484533e-05,-0.4565472627908747,0.7724492729141571
10,11,10,11,,,,-2.393399711949246,0.7297001303506045,0.2964357731201259,AD_LS_vs_AD_NL,PRODUCT mast TNFRSF9 / tissue UMI,log2FC,1.6001300585711606e-07,8.989665757273913e-08,-0.8318497907993206,0.7967091434438394
