dropped,arm,log2FC,p_perm
MGH108,AD,2.1514738413886736,0.022727272727272728
Healthy6,Healthy,2.34589594622153,0.04326923076923077
Healthy7,Healthy,2.589572147294499,0.026327838827838828
Healthy1,Healthy,2.675291851146924,0.022435897435897436
MGH110,AD,2.7286819957161814,0.02197802197802198
MGH103,AD,2.776003175926987,0.022477522477522476
Healthy5,Healthy,2.7821265283235297,0.018543956043956044
Healthy2,Healthy,2.805472990042045,0.017857142857142856
BCH07,AD,2.8210112053047522,0.018606393606393608
BCH04,AD,2.822152012067321,0.020854145854145856
BCH01,AD,2.8396861881819535,0.007992007992007992
BCH05,AD,2.8470228137509204,0.007492507492507493
BCH06,AD,2.895504091890756,0.015234765234765234
MGH104,AD,2.8994833714729227,0.021353646353646352
MGH105,AD,2.9422541862056235,0.0023726273726273725
MGH106,AD,2.989018134890815,0.01635864135864136
Healthy8,Healthy,4.717812571746852,0.010531135531135532
