gene,total,log2FC,p_perm
ACLY,74,1.530941946483523,8.080155138978668e-05
ADGRE5,186,1.3393009481832499,8.080155138978668e-05
ARPC5L,187,0.9826350547169223,8.080155138978668e-05
DCUN1D1,89,0.9544218570683454,8.080155138978668e-05
TNFRSF18,184,3.1973625178421705,8.080155138978668e-05
TOP2B,113,1.5050688398541618,8.080155138978668e-05
ABHD17B,111,-1.4190173710168816,8.080155138978668e-05
MLH3,56,2.3176887222868756,0.00016160310277957336
TMEM45A,88,2.102386927237186,0.00016160310277957336
PPA1,202,1.5718722105384049,0.00016160310277957336
EIF4G1,122,1.450053466244645,0.00016160310277957336
UBE2Q2,137,1.0765469223019253,0.00016160310277957336
COL3A1,114,3.363285588726988,0.00016160310277957336
ITK,138,1.8118756477168614,0.00016160310277957336
BCAR1,88,2.102386927237186,0.00016160310277957336
CTNNA1,195,1.6282976440012256,0.00016160310277957336
STK40,107,2.394994448454326,0.00016160310277957336
HIST1H2BN,94,-1.637932389429684,0.00016160310277957336
AP2B1,208,1.4157530086211236,0.00016160310277957336
DIS3,75,1.289933846979729,0.00024240465416936006
GARS,63,1.5963252542629454,0.00024240465416936006
NARF,113,-1.213179735317628,0.00024240465416936006
PBX2,61,1.934442289923114,0.00024240465416936006
MED30,166,-1.1220834740324888,0.00024240465416936006
LZIC,93,-1.070620158393406,0.0003232062055591467
DNM1L,98,0.946720619701552,0.0003232062055591467
LPP,61,1.5469975418993769,0.0003232062055591467
SNHG9,182,1.3052534673555714,0.0003232062055591467
CHD6,66,-1.2402128634315968,0.0003232062055591467
RELA,68,2.0975005718771587,0.0003232062055591467
CMSS1,97,1.686692612540265,0.0003232062055591467
APOLD1,101,3.1861290180535984,0.0004040077569489334
PHF6,130,1.392004405848515,0.0004040077569489334
MAP7D1,105,2.0630525649389444,0.0004040077569489334
PMPCB,95,-1.6121692933646028,0.0004040077569489334
HYOU1,79,2.8256288027841876,0.0004848093083387201
SLC26A2,80,1.6504056130850961,0.0004848093083387201
TMX4,184,1.0413574938396266,0.0004848093083387201
PNRC2,149,-0.8832017498618975,0.0004848093083387201
ILF3-AS1,131,-1.2975436796514501,0.0004848093083387201
TNIP1,122,1.8162909382048513,0.0004848093083387201
PCNXL4,171,1.8145054243124799,0.0005656108597285068
RAF1,101,1.5267843210098673,0.0005656108597285068
NBEAL2,74,1.2690248572167502,0.0005656108597285068
SCYL2,79,1.631169394222179,0.0005656108597285068
TMF1,188,1.2574909247043926,0.0005656108597285068
AMZ2,115,-0.8283344838146433,0.0006464124111182935
PAICS,66,1.3545153790992566,0.0006464124111182935
TMEM251,157,-1.2032648748802866,0.0006464124111182935
PEA15,66,2.560731652933205,0.0007272139625080802
FYN,133,1.9475354714831046,0.0007272139625080802
SEPT1,86,-1.3827509958542161,0.0007272139625080802
TAOK1,144,1.550577432175179,0.0008080155138978668
ITGAM,71,0.7726543379191408,0.0008080155138978668
CBX4,146,-1.2376392067501565,0.0008080155138978668
RAD9A,69,-1.2354827115191995,0.0008888170652876535
ATP8B4,76,5.128820335089965,0.0008888170652876535
CASP2,60,1.9095676212840857,0.0008888170652876535
ACTR1A,100,1.1392048172377713,0.0009696186166774402
LY96,106,1.4060214706033527,0.0009696186166774402
SDF2,190,-0.9490836777355302,0.0009696186166774402
FHL1,134,1.1642142416251582,0.0009696186166774402
AHSA2,129,-1.5204472858942788,0.0010504201680672268
ENDOD1,85,1.4838757295405773,0.0010504201680672268
IARS,66,2.560731652933205,0.0010504201680672268
EXOC6B,66,1.3545153790992566,0.0012120232708468003
RBM6,132,1.5718722105384075,0.0012120232708468003
ABCC1,78,1.920676011417163,0.0012120232708468003
HAUS6,72,1.7995395739155284,0.001292824822236587
HMGA1,99,1.7178872341438602,0.001292824822236587
GOLPH3,82,1.003138171609138,0.0013736263736263737
MFI2,68,1.4006855605321817,0.0013736263736263737
HSBP1L1,180,-1.0622942881835216,0.0014544279250161603
SMAD2,128,1.3678583185168134,0.0014544279250161603
TPM1,57,2.3439202638600567,0.0014544279250161603
EXOSC4,91,1.5888452891421203,0.0014544279250161603
SRA1,114,0.781880907419022,0.0014544279250161603
USP3,145,1.166393539684406,0.0014544279250161603
TSPYL4,67,-1.2074229283139277,0.001535229476405947
C6orf106,65,1.6440219962942406,0.001535229476405947
DENND4A,138,1.3422239731991579,0.001535229476405947
NOC2L,83,-1.243026232187601,0.0016160310277957336
CAMSAP1,101,1.154886439470041,0.0016968325791855204
DOT1L,78,2.3024823096647893,0.0016968325791855204
XIAP,208,1.1520843117061568,0.0016968325791855204
UPP1,134,1.5950485329044997,0.0016968325791855204
SLC25A38,192,-0.7459131821746471,0.0016968325791855204
LMNB1,58,4.741797211980718,0.001777634130575307
EBP,98,1.2838155382301824,0.001777634130575307
TMEM120A,67,1.3777851584221024,0.001777634130575307
HSPA1L,97,-2.2759092236778735,0.0018584356819650936
ACER3,210,1.5282609793177906,0.0018584356819650936
PRPF6,161,-0.7721760031471016,0.0019392372333548805
DYRK1A,79,1.631169394222179,0.0019392372333548805
UBA3,105,1.2159620162218088,0.0019392372333548805
LARP1B,81,1.409397513581302,0.0019392372333548805
HELZ,119,1.1094217687847814,0.0020200387847446673
RELB,185,1.5469975418993769,0.0020200387847446673
CEP350,104,1.3764266884150556,0.0021008403361344537
OSBPL11,70,1.4454238752974657,0.0021008403361344537
TRIO,77,1.59190996377495,0.0021008403361344537
SRSF8,189,0.7675966814127734,0.0021008403361344537
ISG20L2,55,1.0702123565118122,0.0021816418875242405
GNA15,134,2.428809161446569,0.0021816418875242405
VASP,127,1.3556320161835533,0.0021816418875242405
YIPF6,100,-0.9869063583790972,0.0022624434389140274
CHD7,194,1.620370728229595,0.0022624434389140274
IFNGR2,184,1.6580288542881203,0.0022624434389140274
LRRC8A,79,1.9399122302800802,0.0023432449903038137
GPN3,138,-1.0420585143480112,0.0023432449903038137
LINC00467,69,1.73493049249245,0.0023432449903038137
TFRC,81,0.9836419959833391,0.0024240465416936006
NPEPPS,120,1.1226575959414755,0.0025048480930833874
NAPG,61,1.232179836175204,0.002585649644473174
PPP6C,156,1.2814519169095342,0.002585649644473174
ATXN2,109,0.9699223557966781,0.0026664511958629606
CSGALNACT2,86,1.0785904000386017,0.0026664511958629606
