term,log2FC,se_log2,ci_lo,ci_hi,p,gene,comparison,n_spots_ref,n_spots_alt,donors_ref,donors_alt,cp10k_ref,cp10k_alt
arm,2.056852040783843,0.8732596693221201,0.3452630889124877,3.768440992655198,0.018504132824881524,TNFRSF9,Healthy_vs_AD,4010,9352,6,7,0.003706212947136061,0.015420715675414497
arm,1.8739879836347846,0.6351252078491155,0.6291425762505183,3.1188333910190513,0.0031717749251431782,TNFSF9,Healthy_vs_AD,4010,9352,6,7,0.007412425894272122,0.02716983238049221
arm,-0.8008630644606001,0.8344333149372768,-2.4363523617376623,0.8346262328164623,0.33717158631799526,TPSAB1,Healthy_vs_AD,4010,9352,6,7,1.0173554539888487,0.5839678162320656
arm,-0.35893597875418465,0.3535958229643564,-1.051983791764323,0.33411183425595387,0.3100570039219144,TPSB2,Healthy_vs_AD,4010,9352,6,7,2.8278404786648146,2.204978761635756
arm,-0.7082177359599585,0.30798186343639916,-1.3118621882953008,-0.10457328362461611,0.021474088148541196,CPA3,Healthy_vs_AD,4010,9352,6,7,0.30112980195480493,0.18431426831090658
arm,-0.08432129349402402,0.5081487414003529,-1.0802928266387157,0.9116502396506676,0.8682055756497025,COL1A1,Healthy_vs_AD,4010,9352,6,7,20.49350449118885,19.33005067908059
arm,1.6027058624541306,0.1870030542376935,1.2361798761482514,1.9692318487600098,1.030549357550576e-17,KRT14,Healthy_vs_AD,4010,9352,6,7,57.21651547788651,173.77365840691525
arm,0.27945710722391465,1.021790498295816,-1.7232522694358847,2.282166483883714,0.7844708436000334,TNFRSF9,Healthy_vs_AD_NL,4010,3727,6,6,0.003706212947136061,0.004498371724386924
arm,1.9117253227206206,0.588557248563451,0.7581531155362566,3.065297529904985,0.001161558698937899,TNFSF9,Healthy_vs_AD_NL,4010,3727,6,6,0.007412425894272122,0.027889904691198928
arm,-0.47070798469995784,0.8909469502615199,-2.2169640072125367,1.2755480378126212,0.5972750000023044,TPSAB1,Healthy_vs_AD_NL,4010,3727,6,6,1.0173554539888487,0.734134265419946
arm,-0.7013843122894147,0.48542233910532734,-1.6528120969358562,0.2500434723570268,0.148487380037508,TPSB2,Healthy_vs_AD_NL,4010,3727,6,6,2.8278404786648146,1.7390705086479847
arm,-0.8710670572980393,0.2891761182856352,-1.4378522491378842,-0.30428186545819436,0.0025932988243195366,CPA3,Healthy_vs_AD_NL,4010,3727,6,6,0.30112980195480493,0.1646404051125614
arm,-0.3652472853472731,0.4167304982614194,-1.182039061939655,0.45154449124510887,0.38078043921305316,COL1A1,Healthy_vs_AD_NL,4010,3727,6,6,20.49350449118885,15.909841114811671
arm,0.4919472072078684,0.19062783996519322,0.11831664087608962,0.8655777735396472,0.009860930252768251,KRT14,Healthy_vs_AD_NL,4010,3727,6,6,57.21651547788651,80.46597373148842
arm,2.297568472098571,0.932044071646226,0.4707620916719679,4.124374852525174,0.013698050101823152,TNFRSF9,Healthy_vs_AD_LS,4010,5625,6,7,0.003706212947136061,0.018220798109243926
arm,1.864152443505012,0.6934637693140897,0.5049634556493963,3.223341431360628,0.007184358635564875,TNFSF9,Healthy_vs_AD_LS,4010,5625,6,7,0.007412425894272122,0.026985232642804294
arm,-0.8992501468572492,0.918997302317493,-2.7004848593995354,0.9019845656850368,0.32782102014201064,TPSAB1,Healthy_vs_AD_LS,4010,5625,6,7,1.0173554539888487,0.5454707282071124
arm,-0.2828297819433158,0.4057325400577141,-1.0780655604564355,0.5124059965698038,0.4857500415788858,TPSB2,Healthy_vs_AD_LS,4010,5625,6,7,2.8278404786648146,2.3244202955058264
arm,-0.6692697722165504,0.3622069485833625,-1.3791953914399409,0.040655847006840065,0.06463776472751608,CPA3,Healthy_vs_AD_LS,4010,5625,6,7,0.30112980195480493,0.1893579145277122
arm,-0.020321194374788853,0.5400170967814291,-1.0787547040663898,1.0381123153168121,0.9699821700389152,COL1A1,Healthy_vs_AD_LS,4010,5625,6,7,20.49350449118885,20.206865103151515
arm,1.788767553046341,0.1850938413341573,1.4259836240313926,2.151551482061289,4.2831965323959725e-22,KRT14,Healthy_vs_AD_LS,4010,5625,6,7,57.21651547788651,197.69427562721233
arm,2.018111364877489,1.409178496084373,-0.7438784874478821,4.78010121720286,0.1521097542940301,TNFRSF9,AD_LS_vs_AD_NL,3727,5625,6,7,0.004498371724386924,0.018220798109243926
arm,-0.04757287921569829,0.564290744422212,-1.153582738283234,1.0584369798518374,0.932813446809207,TNFSF9,AD_LS_vs_AD_NL,3727,5625,6,7,0.027889904691198928,0.026985232642804294
arm,-0.4285421621631211,0.8625980973784908,-2.119234433024963,1.2621501086987208,0.6193272930242371,TPSAB1,AD_LS_vs_AD_NL,3727,5625,6,7,0.734134265419946,0.5454707282071124
arm,0.4185545303459376,0.6461949822330165,-0.8479876348307748,1.68509669552265,0.517164948471175,TPSB2,AD_LS_vs_AD_NL,3727,5625,6,7,1.7390705086479847,2.3244202955058264
arm,0.20179728508149294,0.4502964079672531,-0.6807836745343232,1.0843782446973091,0.6540498332180299,CPA3,AD_LS_vs_AD_NL,3727,5625,6,7,0.1646404051125614,0.1893579145277122
arm,0.3449260909724056,0.33824359331420667,-0.3180313519234395,1.0078835338682506,0.3078439750273556,COL1A1,AD_LS_vs_AD_NL,3727,5625,6,7,15.909841114811671,20.206865103151515
arm,1.2968203458384135,0.20768729170592123,0.889753254094808,1.7038874375820192,4.262455615796303e-10,KRT14,AD_LS_vs_AD_NL,3727,5625,6,7,80.46597373148842,197.69427562721233
